Correct label,Predicted label,Adversarial label,L2 metric,Num queries,Time (s)
0,0,1,0.079944953322411,853,18.1392567157745
1,1,393,0.079653665423393,326,6.8580276966095
2,2,971,0.079991616308689,63,1.33684873580933
3,3,2,0.079918555915356,257,5.43924975395203
4,4,435,0.068727426230908,10,0.204758167266846
5,5,641,0.079834684729576,174,4.02345824241638
6,6,5,0.07998838275671,264,5.87836956977844
7,7,552,0.069600038230419,10,0.205809116363525
8,8,971,0.079982489347458,230,5.12961292266846
9,9,84,0.079924963414669,375,9.24347066879272
10,10,11,0.079674035310745,93,2.50017738342285
11,11,12,0.079893030226231,772,18.4818251132965
12,12,92,0.079999588429928,83,1.98020052909851
13,13,94,0.079762682318688,33,0.741236448287964
14,14,90,0.079378843307495,72,1.72498822212219
15,15,16,0.079999148845673,52,1.26258873939514
16,16,17,0.079999551177025,243,5.81145119667053
17,17,723,0.079432435333729,140,3.36539912223816
18,18,11,0.079957656562328,165,3.91170167922974
19,19,94,0.078729160130024,11,0.253624439239502
20,20,94,0.078288793563843,10,0.237121820449829
21,21,723,0.079286366701126,24,0.563491344451904
22,22,84,0.079933114349842,61,1.4847457408905
23,23,552,0.079996556043625,115,2.71255302429199
24,24,94,0.079687438905239,27,0.652584314346314
25,25,25,0.079960092902184,5000,118.720489740372
26,26,29,0.078882448375225,21,0.549625396728516
27,27,845,0.079964600503445,179,4.67859125137329
28,28,300,0.079996183514595,441,11.4434490203857
29,29,552,0.079930156469345,125,3.32326793670654
30,30,32,0.07995869219303131,393,14.614614248275757
31,31,40,0.07999998331069946,170,4.91789698600769
32,32,30,0.079991936683655,216,5.26857113838196
33,33,719,0.079920642077923,73,1.90011787414551
34,34,971,0.079923957586289,37,0.933707475662231
35,35,971,0.07995967566967,199,4.63489627838135
36,36,35,0.079381987452507,93,2.16696071624756
37,37,35,0.07999604940414429,881,32.58395528793335
38,38,397,0.079720571637154,20,0.412929058074951
39,39,46,0.07999312877655,825,20.2980933189392
40,40,46,0.079401768743992,101,2.66183614730835
41,41,973,0.079939000308514,278,7.44099354743958
42,42,327,0.079989053308964,292,7.65148138999939
43,43,643,0.079480223357678,83,2.15232133865356
44,44,41,0.079939626157284,238,6.11278653144836
45,45,84,0.079946331679821,85,2.14338374137878
46,46,40,0.079920366406441,246,5.75708866119385
47,47,971,0.07979901880025864,588,20.88314962387085
48,48,42,0.079863920807839,52,1.10729479789734
49,49,84,0.079349108040333,11,0.218244552612305
50,50,390,0.0798967108130455,226,6.897168397903442
51,51,552,0.079901434481144,96,2.01528120040894
52,52,390,0.079749867320061,126,2.64330053329468
53,53,52,0.079358518123627,128,2.69015645980835
54,54,60,0.079843834042549,136,2.85187387466431
55,55,55,0.079959377646446,5000,114.809228420258
56,56,58,0.075091511011124,10,0.295067071914673
57,57,62,0.079893469810486,480,11.948352098465
58,58,971,0.076513186097145,10,0.243672132492065
59,59,59,0.079861924052239,5000,117.650936126709
60,60,58,0.079897791147232,215,4.74552750587463
61,61,62,0.079946652054787,747,16.3443653583527
62,62,60,0.079953081905842,50,1.09448909759521
63,63,397,0.079917311668396,44,1.09294605255127
64,64,55,0.079830035567284,68,1.69126653671265
65,65,65,0.079974979162216,5000,118.128569602966
66,66,115,0.076718211174011,10,0.248051404953003
67,67,61,0.079896010458469,95,2.46044874191284
68,68,84,0.07637644559145,10,0.255074024200439
69,69,971,0.076502948999405,10,0.225088357925415
70,70,300,0.079439915716648,287,7.48912239074707
71,71,123,0.079986326396465,257,6.79752135276794
72,72,74,0.07999999076128,153,3.89211130142212
73,73,74,0.079749114811421,207,5.38980746269226
74,74,815,0.079982735216618,314,7.79386734962463
75,75,300,0.079597562551499,155,3.74525046348572
76,76,309,0.07990875095129,184,4.52572178840637
77,77,73,0.079999759793282,192,4.9686381816864
78,78,73,0.079677045345306,96,2.47822332382202
79,79,845,0.079120963811874,112,2.91943073272705
80,80,84,0.078737661242485,28,0.651896715164185
81,81,84,0.079970479011536,127,3.28000998497009
82,82,971,0.079737991094589,62,1.38275623321533
83,83,86,0.079999856650829,268,5.93984532356262
84,84,97,0.079949013888836,4300,104.041284561157
85,85,92,0.079142563045025,16,0.403840303421021
86,86,82,0.079984836280346,134,3.70333409309387
87,87,84,0.079997792840004,281,6.72232842445374
88,88,90,0.079957254230976,123,2.53258562088013
89,89,88,0.079891607165337,230,5.18760538101196
90,90,91,0.079983338713646,836,19.9512658119202
91,91,92,0.079279601573944,38,0.837336778640747
92,92,315,0.079895153641701,74,1.77361345291138
93,93,84,0.079749412834644,258,6.0208375453949
94,94,127,0.079385071257921,1010,24.11794257164
95,95,94,0.079931490123272,201,4.70490312576294
96,96,93,0.07999812066555,1150,28.6781408786774
97,97,84,0.079947225749493,343,7.5890679359436
98,98,97,0.079286210238934,47,1.03751087188721
99,99,84,0.079562939703465,60,1.30269598960876
100,100,94,0.079845726490021,172,6.56727194786072
101,101,385,0.079069390892983,209,7.44023036956787
102,102,696,0.079914107918739,152,5.45465326309204
