Correct label,Predicted label,Adversarial label,L2 metric,Num queries,Time (s)
0,0,389,0.06999623775482178,336,7.89753270149231
1,1,393,0.06998912245035172,350,7.947529315948486
2,2,801,0.06957673281431198,79,1.8772592544555664
3,3,2,0.0699925497174263,225,5.23661994934082
4,4,107,0.06065897271037102,10,0.31273341178894043
5,5,855,0.06969726830720901,99,2.3820440769195557
6,6,5,0.06997638940811157,391,8.911425828933716
7,7,552,0.06751496344804764,12,0.3511691093444824
8,8,84,0.06997741013765335,253,5.797658205032349
9,9,134,0.06999118626117706,622,14.09130334854126
10,10,12,0.06999983638525009,110,2.63030743598938
11,11,92,0.06993390619754791,444,10.269458532333374
12,12,94,0.06944029778242111,31,0.7975590229034424
13,13,94,0.06999997794628143,83,2.013274669647217
14,14,17,0.06999415159225464,132,3.117600679397583
15,15,16,0.06996685266494751,45,1.1471445560455322
16,16,92,0.06898518651723862,163,3.811039447784424
17,17,696,0.06995455920696259,87,2.1171932220458984
18,18,96,0.06990715861320496,142,3.3673791885375977
19,19,94,0.06692852824926376,10,0.33193135261535645
20,20,94,0.06870197504758835,10,0.3590505123138428
21,21,94,0.06420937925577164,10,0.3463873863220215
22,22,23,0.06957528740167618,92,2.257445812225342
23,23,93,0.06998268514871597,175,4.154030799865723
24,24,94,0.06660204380750656,10,0.34203195571899414
26,26,32,0.06999962031841278,48,1.2411980628967285
27,27,845,0.06966576725244522,187,4.367430686950684
28,28,300,0.06997235119342804,454,10.402400732040405
29,29,552,0.06977227330207825,360,8.348162412643433
30,30,32,0.06984470784664154,859,19.854987144470215
31,31,46,0.06981748342514038,754,16.981773853302002
32,32,31,0.06813766062259674,265,6.085248947143555
33,33,719,0.06993215531110764,82,1.9753985404968262
34,34,971,0.06998845189809799,31,0.8133466243743896
35,35,971,0.06995106488466263,492,11.191857099533081
36,36,35,0.069947250187397,170,4.006495952606201
37,37,35,0.06968316435813904,2650,59.44794011116028
38,38,397,0.06898855417966843,10,0.32478833198547363
39,39,42,0.06970763951539993,527,12.086439609527588
40,40,46,0.06999867409467697,111,2.691337823867798
41,41,309,0.06996971368789673,113,2.794816255569458
42,42,84,0.06992927193641663,238,5.51863431930542
43,43,723,0.0698809027671814,153,3.631972312927246
44,44,41,0.06999845057725906,388,9.04667353630066
45,45,58,0.06994538754224777,339,7.800470352172852
46,46,42,0.06971165537834167,101,2.425177812576294
47,47,46,0.06937414407730103,2081,46.61956977844238
48,48,39,0.06995145231485367,80,1.9431407451629639
49,49,42,0.06946868449449539,18,0.5260682106018066
50,50,50,0.06993070244789124,5000,112.52346229553223
51,51,467,0.0694844052195549,116,2.771815776824951
52,52,111,0.06986073404550552,218,5.1252429485321045
53,53,52,0.06999944895505905,196,4.648181915283203
54,54,60,0.06971686333417892,148,3.5596046447753906
56,56,321,0.06600937247276306,10,0.3910825252532959
57,57,59,0.06993460655212402,426,9.889268159866333
58,58,971,0.0675930604338646,10,0.3552567958831787
60,60,52,0.06997577846050262,425,9.897144556045532
61,61,62,0.06995983421802521,765,17.35485529899597
62,62,32,0.06931108981370926,95,2.2672650814056396
63,63,397,0.06942815333604813,79,1.9276816844940186
64,64,55,0.0698562040925026,79,1.9430568218231201
66,66,115,0.069501131772995,24,0.6694910526275635
67,67,61,0.0694979727268219,168,3.966403007507324
68,68,30,0.06718465685844421,10,0.3597726821899414
69,69,971,0.06999990344047546,37,0.9820566177368164
70,70,304,0.06988444179296494,301,6.9716103076934814
71,71,124,0.06994238495826721,213,5.005009889602661
72,72,74,0.06999962031841278,173,4.015669345855713
73,73,74,0.0699559822678566,333,7.844935655593872
74,74,815,0.06976377964019775,559,12.929900884628296
75,75,320,0.06998701393604279,139,3.357983350753784
76,76,309,0.06978871673345566,279,6.522095441818237
77,77,300,0.06999533623456955,126,3.167252779006958
78,78,73,0.06999436765909195,139,3.506819486618042
79,79,902,0.06976151466369629,56,1.4811580181121826
80,80,136,0.06999486684799194,125,2.998210906982422
81,81,86,0.06991003453731537,166,3.9303746223449707
82,82,84,0.06956181675195694,41,1.1421575546264648
83,83,84,0.06999854743480682,115,2.813184976577759
84,84,84,0.06988988071680069,5000,114.4247179031372
85,85,84,0.06912325322628021,12,0.47621798515319824
86,86,94,0.06997062265872955,43,1.2081787586212158
87,87,84,0.06999354064464569,375,8.95703411102295
88,88,90,0.06998898088932037,212,5.106572389602661
89,89,88,0.06999225914478302,160,3.938340425491333
90,90,91,0.06989088654518127,928,21.59117364883423
91,91,14,0.06889636069536209,56,1.5098850727081299
92,92,90,0.06993748992681503,250,6.019863843917847
93,93,971,0.06999479234218597,444,10.488781213760376
94,94,94,0.06994173675775528,5000,114.65479516983032
95,95,94,0.0699327290058136,292,7.086169481277466
96,96,93,0.06997393071651459,897,20.837430000305176
97,97,84,0.06990711390972137,345,8.231568813323975
98,98,97,0.06989451497793198,81,2.1410470008850098
99,99,97,0.06817827373743057,88,2.2743568420410156
100,100,97,0.06985349208116531,112,2.7978739738464355
101,101,385,0.06984097510576248,181,4.438761234283447
102,102,7,0.06999396532773972,122,3.0143754482269287
103,103,94,0.06986445188522339,46,1.3357651233673096
104,104,298,0.06999725848436356,376,8.896925210952759
105,105,850,0.0699942335486412,755,17.637670516967773
106,106,362,0.06887435913085938,637,15.024856567382812
107,107,819,0.06999914348125458,289,6.882261037826538
108,108,393,0.06994331628084183,1607,37.192166805267334
109,109,644,0.06999260187149048,291,6.989904403686523
110,110,115,0.06995839625597,2707,62.81893038749695
111,111,971,0.07000010460615158,58,1.561047077178955
112,112,125,0.06995968520641327,692,16.284570932388306
113,113,114,0.06998677551746368,777,18.469075679779053
114,114,302,0.06987947970628738,239,5.958937406539917
115,115,110,0.06990096718072891,1098,25.88861346244812
116,116,126,0.06999735534191132,2589,59.127774477005005
117,117,971,0.06995916366577148,2905,66.46701192855835
118,118,121,0.06996025890111923,839,19.681650161743164
119,119,118,0.06973425298929214,695,16.373653411865234
120,120,644,0.06997814029455185,323,7.702729940414429
121,121,124,0.06996681541204453,368,8.783811092376709
122,122,124,0.06998310983181,563,13.483844518661499
124,124,120,0.06940533220767975,355,8.482012271881104
125,125,119,0.06988794356584549,1684,38.46752882003784
126,126,971,0.06986598670482635,52,1.3615968227386475
127,127,128,0.0699973851442337,604,13.895388126373291
128,128,93,0.06986720114946365,236,5.5744664669036865
129,129,94,0.07000003755092621,318,7.384603261947632
