Correct label,Predicted label,Adversarial label,L2 metric,Num queries,Time (s)
0,0,389,0.06000006199,485,13.70098734
1,1,392,0.05965261534,1368,37.33914566
2,2,149,0.058976072818041,10,0.351579189300537
4,4,5,0.052646018564701,10,0.367278575897217
5,5,684,0.05999805405736,316,8.80334377288818
6,6,5,0.059598054736853,17,0.560341358184814
7,7,552,0.053556010127068,10,0.359347581863403
8,8,23,0.059999071061611,177,5.00013089179993
9,9,32,0.059984959661961,222,6.198894739151
10,10,12,0.059512436389923,45,1.3567750453949
12,12,92,0.059984590858221,238,6.62421894073486
13,13,10,0.059999920427799,277,7.76446557044983
14,14,12,0.060000073164702,195,5.4554386138916
15,15,95,0.059779830276966,53,1.58131241798401
16,16,92,0.059943709522486,288,8.07475638389587
17,17,16,0.059531446546316,18,0.632195949554443
18,18,96,0.05999980121851,221,6.19071173667908
19,19,17,0.05994775891304,66,1.97374773025513
20,20,136,0.059894558042288,45,1.40935683250427
21,21,94,0.059987146407366,35,1.09689044952393
22,22,21,0.059857539832592,108,3.15908885002136
23,23,84,0.059724219143391,39,1.25487422943115
24,24,94,0.057527717202902,10,0.405771493911743
26,26,29,0.059612341225147,16,0.560776710510254
27,27,456,0.05777882784605,148,4.39916157722473
28,28,300,0.05996051058,209,5.905283689
29,29,126,0.059576589614153,451,12.6442222595215
30,30,32,0.059988684952259,101,2.94415664672852
31,31,32,0.060000110417605,30,0.97832727432251
32,32,32,0.059950515627861,5000,139.098927974701
33,33,719,0.059936847537756,73,2.15359616279602
34,34,5,0.059923589229584,149,4.27233672142029
36,36,35,0.059154089540243,228,6.46255898475647
37,37,37,0.059902727603912,5000,138.035908460617
38,38,26,0.06000005826354,194,5.53172826766968
39,39,42,0.059976901859045,1917,53.3652920722961
40,40,47,0.0599749609828,165,4.6664731502533
41,41,300,0.059999216347933,170,4.83607268333435
42,42,136,0.059995282441378,296,8.32866883277893
43,43,322,0.059702679514885,155,4.41038966178894
44,44,41,0.059999205172062,217,6.12634444236755
45,45,38,0.059973634779453,87,2.53539824485779
46,46,41,0.05790963023901,10,0.391520500183106
48,48,36,0.059806194156408,17,0.602833986282349
49,49,646,0.05991917476058,39,1.22458791732788
50,50,389,0.059898026287556,63,1.93415546417236
51,51,380,0.059515543282032,86,2.49580931663513
52,52,26,0.059839844703674,36,1.20563101768494
53,53,52,0.059911172837019,121,3.4779098033905
54,54,60,0.059998564422131,244,6.87001156806946
56,56,58,0.059722188860178,36,1.15075826644897
57,57,59,0.059999991208315,293,8.31466937065125
58,58,337,0.059976771473885,43,1.3144109249115
60,60,62,0.05995948985219,191,5.44086456298828
61,61,62,0.05999999121,852,23.76572585
62,62,32,0.059812989085913,127,3.64284706115723
63,63,390,0.059993196278811,409,11.415944814682
64,64,60,0.059941802173853,106,3.03448987007141
66,66,115,0.059916794300079,342,9.49672842025757
67,67,68,0.059966083616018,74,2.16667032241821
68,68,996,0.058074209839106,10,0.387452602386475
69,69,728,0.058612279593945,10,0.409534692764282
70,70,318,0.059984631836414,1335,36.6702666282654
71,71,122,0.059982370585203,465,13.060417175293
72,72,73,0.059999752789736,196,5.60134482383728
74,74,73,0.057850506156683,10,0.405378818511963
75,75,300,0.058935523033142,188,5.45834517478943
76,76,73,0.059998579323292,377,10.6927952766418
77,77,73,0.059999991208315,14,0.528614044189453
78,78,73,0.059935674071312,417,11.7748367786407
79,79,111,0.059995044022799,220,6.24610948562622
80,80,136,0.059995763003826,320,9.13967370986939
81,81,84,0.059789855033159,154,4.44604349136353
82,82,364,0.059859048575163,94,2.97596645355225
83,83,80,0.059995871037245,364,10.376927614212
85,85,84,0.059914834797382,60,1.86946821212769
86,86,83,0.05996947736,423,11.7596221
87,87,88,0.0599999465,757,20.84774828
88,88,90,0.059999950230122,664,18.6732547283173
89,89,384,0.05993214994669,1207,34.0523612499237
90,90,95,0.059948775917292,995,27.8340179920197
91,91,136,0.059924591332674,330,9.46032166481018
92,92,315,0.05979647487,171,4.837542772
93,93,384,0.059997495263815,891,25.0278658866882
95,95,94,0.060000069439411,715,20.0531854629517
96,96,96,0.059891533106566,5000,139.801083087921
98,98,97,0.059951975941658,723,20.4881701469421
99,99,97,0.059983812272549,193,5.60112404823303
100,100,128,0.059348553419113,791,22.3821403980255
101,101,385,0.059933908283711,468,13.3650794029236
102,102,946,0.05999418348074,155,4.53955888748169
